no_Trans;no_item;item;kategori;ket;tgl;harga;qty;jumlah;diskon;total
155868;mic 0600451;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;01/07/2023;884000;2;1768000;50%;884000
155869;mic 0506106;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);01/07/2023;283000;5;1415000;50%;707500
155870;mic 2001210;hak angin B;hak angin;hak angin/centolan jendela;01/07/2023;93500;5;467500;40%;280500
155870;mic 2001230;hak angin C;hak angin;hak angin/centolan jendela;01/07/2023;93500;7;654500;40%;392700
155871;mic 2012065;grendel pintu AA;grendel pintu;grendel pintu;02/07/2023;50000;1;50000;40%;30000
155872;mic 0400702;gagang pintu C;gagang pintu;gagang pintu;04/07/2023;536500;1;536500;PROMO;175000
155873;mic 2012065;grendel pintu AA;grendel pintu;grendel pintu;05/07/2023;50000;1;50000;40%;30000
155874;mic 2001230;hak angin C;hak angin;hak angin/centolan jendela;05/07/2023;93500;2;187000;40%;112200
155874;mic 2012080;grendel pintu AA;grendel pintu;grendel pintu;05/07/2023;40000;4;160000;40%;96000
155875;mic 0500012;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);06/07/2023;541000;1;541000;60%;216400
155876;mic 0506108;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);06/07/2023;283000;1;283000;50%;141500
155877;mic 0506101;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);06/07/2023;342000;1;342000;60%;136800
155878;mic 0101062;lockcase 2;lockcase;lockcase/body kunci;08/07/2023;135500;1;135500;50%;67750
155878;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;08/07/2023;111000;1;111000;50%;55500
155879;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;08/07/2023;66000;2;132000;50%;66000
155880;mic 2006020;grendel jendela K;grendel jendela;grendel kodok khusus jendela;08/07/2023;148500;1;148500;40%;89100
155881;mic 0101062;lockcase 2;lockcase;lockcase/body kunci;08/07/2023;135500;1;135500;50%;67750
155881;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;08/07/2023;111000;1;111000;50%;55500
155881;mic 0700001;escushion 1;escushion;escushion/cover anak kunci;08/07/2023;86500;1;86500;40%;51900
155882;mic 0400723;gagang pintu C;gagang pintu;gagang pintu;09/07/2023;592000;1;592000;PROMO;190000
155883;mic 0101062;lockcase 2;lockcase;lockcase/body kunci;09/07/2023;135500;1;135500;50%;67750
155883;mic 0800001;anak kunci;anak kunci;anak kunci/cylinder;09/07/2023;201500;1;201500;PROMO;81000
155884;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;09/07/2023;56500;1;56500;40%;33900
155885;mic 0506108;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);09/07/2023;283000;1;283000;50%;141500
155886;mic 0400723;gagang pintu C;gagang pintu;gagang pintu;10/07/2023;592000;1;592000;PROMO;190000
155887;mic 0103005;lockcase 2;lockcase;lockcase/body kunci;12/07/2023;296500;1;296500;50%;148250
155887;mic 0104004;anak kunci;anak kunci;anak kunci/cylinder;12/07/2023;111000;1;111000;50%;55500
155888;mic 2012081;grendel pintu AA;grendel pintu;grendel pintu;12/07/2023;56500;1;56500;40%;33900
155888;mic 2012095;grendel pintu AA;grendel pintu;grendel pintu;12/07/2023;54500;1;54500;40%;32700
155889;mic 0506102;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);12/07/2023;342000;2;684000;60%;273600
155890;mic 0400702;gagang pintu C;gagang pintu;gagang pintu;13/07/2023;536500;1;536500;PROMO;175000
155891;mic 0500021;gagang pintu B;gagang pintu;gagang pintu besar(pintu 1 daun);13/07/2023;522500;1;522500;60%;209000
155892;mic 2004000;grendel jendela A;grendel jendela;grendel jendela;13/07/2023;74000;1;74000;40%;44400
155892;mic 2001355;hak angin A;hak angin;hak angin/centolan jendela;13/07/2023;139000;2;278000;40%;166800
155892;mic 0506055;engsel pintu & jendela;engsel pintu & jendela;engsel pintu & jendela;13/07/2023;66000;3;198000;50%;99000
155893;mic 0600513;gagang pintu DD;gagang pintu;gagang pintu kembar/pull handle;13/07/2023;471000;2;942000;50%;471000
155894;mic 0506109;gagang pintu S;gagang pintu;gagang pintu sedang(pintu 1 daun);13/07/2023;376500;1;376500;60%;150600
